record_type,drug,parameter,unit,estimate,rse_pct,bsv_cv_pct,note
CROSS_DRUG,both,CAZ_AVI_correlation,unitless,NOT REPORTED,,,"*** KEY *** acknowledged and accounted for, but NEVER quantified. See README"
residual,CAZ,proportional_phase1,variance,0.04,0.5,,shrinkage 2.9%
residual,CAZ,additive_phase1,variance,26489,7.5,,shrinkage 2.9%
residual,CAZ,proportional_phase2_3,variance,0.114,2.1,,shrinkage 9.5%
residual,CAZ,additive_phase2_3,variance,18.4,447,,RSE 447% -- essentially unidentifiable
residual,AVI,proportional_phase1,variance,0.173,0.1,,
residual,AVI,additive_phase1,variance,44.6,0.5,,
residual,AVI,proportional_phase2,variance,0.492,3.0,,
residual,AVI,proportional_phase3,variance,0.363,1.1,,
cohort,CAZ,n_subjects,count,1975,,,"9155 observations; 86 healthy (4.4%), 696 cUTI, 781 cIAI, 412 NP"
cohort,AVI,n_subjects,count,2249,,,"13735 observations; 345 phase I healthy/renal-impaired, 705 cUTI, 786 cIAI, 413 NP"
cohort,CAZ,CrCL_range,mL/min,8 to 488,,,Cockcroft-Gault
cohort,AVI,CrCL_range,mL/min,11 to 610,,,
protein_binding,CAZ,free_fraction,fraction,0.85,,,"verbatim: free = 85% of total. SAME as Cojutti 2024 and this project's primary model"
protein_binding,AVI,free_fraction,fraction,0.92,,,"verbatim: free = 92% of total. SAME as Cojutti 2024 and this project's primary model"
target,CAZ,pkpd_target,,50% fT > 8 mg/L,,,registrational target; MIC 8 = surveillance-based breakpoint
target,AVI,pkpd_target,,50% fT > 1 mg/L,,,registrational target; see Das2019 folder for full derivation
target,both,sensitivity,,60% fT retained >90% PTA,,,"data not shown in paper"
exposure_response,both,result,,NONE IDENTIFIED,,,"see README -- ceiling effect, not absence of relationship"
